file_name,Type,SkewnessBlue,KurtosisBlue,MeanPixelBlue,SkewnessGreen,KurtosisGreen,MeanPixelGreen,SkewnessRed,KurtosisRed,MeanPixelRed,CombinedType,camera,focal,lens,zoom_raw,total_zoom,exposure_time_raw,exposure_time_sec,pixel_width,pixel_height,number_of_megapixels,Width_to_Height_Ratio,Landscape_or_Portrait,focal_comb,lens_comb,zoom_comb,et_comb,megapx_comb,ratio_comb,pixel_size
190306_o_BP-662-006_0.JPG,WSIF,1.52,3.98,61.98,1.39,3.23,57.56,1.33,2.85,52.85,CW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190306_o_BP-662-006_0.JPG,HEM,1.07,2.2,62.32,1.09,2.23,54.86,1.05,2.12,52.12,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190306_o_BP-662-006_0.JPG,SIF,1.05,2.17,64.45,1.01,2.0,59.22,1.0,1.98,55.52,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190306_o_BP-662-006_1.JPG,HEM,1.62,3.56,45.47,1.53,2.89,45.59,1.47,2.45,44.75,ORE,iPhone 6,4.15,2.28,"(1224, 587)",2.09,"(1, 4950)",0.2,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190306_o_BP-662-006_1.JPG,WSIF,1.12,1.69,60.37,1.07,1.52,66.58,1.02,1.44,67.68,CW,iPhone 6,4.15,2.28,"(1224, 587)",2.09,"(1, 4950)",0.2,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190306_o_BP-676-048_0.JPG,HEM,-0.04,0.45,44.6,-0.19,0.54,42.52,-0.27,0.59,43.77,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,4284,3224,13.81,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4284, 3224)"
190306_o_BP-676-048_0.JPG,QR,1.62,3.48,55.07,1.44,2.93,54.84,1.21,2.29,55.94,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,4284,3224,13.81,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4284, 3224)"
190308_o_BW-718-092_0.JPG,QR,-0.03,-0.22,68.0,-0.2,-0.19,65.29,-0.4,-0.15,68.69,DW,iPhone 6,4.15,2.28,"(408, 227)",1.8,"(1, 1068)",0.94,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190308_o_BW-718-092_0.JPG,HEM,1.63,6.68,43.32,1.25,5.64,41.08,0.99,5.2,47.27,ORE,iPhone 6,4.15,2.28,"(408, 227)",1.8,"(1, 1068)",0.94,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190308_o_BW-718-092_0.JPG,HEM,1.14,13.41,60.12,1.43,20.06,52.82,0.76,11.12,54.14,ORE,iPhone 6,4.15,2.28,"(408, 227)",1.8,"(1, 1068)",0.94,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,Zoom in,1 ms or less,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190310_o_BP-662-005_0.JPG,IFG,0.14,-0.09,84.19,-0.02,-0.01,105.82,-0.24,0.04,121.8,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,4188,3218,13.48,1.3,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4188, 3218)"
190310_o_BP-662-005_0.JPG,WSIF,-0.15,-0.65,110.23,-0.2,-0.57,124.57,-0.21,-0.51,123.68,CW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,4188,3218,13.48,1.3,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(4188, 3218)"
190311_o_BP-676-048_0.JPG,QR,1.06,2.57,67.36,0.95,2.09,67.46,0.89,1.83,66.75,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190311_o_BP-676-048_0.JPG,QR,1.7,5.63,49.41,1.45,4.2,55.46,1.21,2.91,63.57,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190311_o_BP-676-048_0.JPG,QR,2.36,4.7,52.11,2.3,4.46,56.74,2.22,4.21,64.6,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190311_o_BP-676-048_0.JPG,HEM,1.48,1.18,67.29,1.44,1.06,69.02,1.39,0.93,73.48,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,3264,2448,7.99,1.33,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(3264, 2448)"
190311_o_BW-732-114_0.JPG,GN,0.63,1.93,76.61,0.52,1.45,77.64,0.39,0.96,78.61,CW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,HEM,1.35,2.53,79.25,1.3,2.41,78.2,1.17,2.02,78.29,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,HEM,2.0,6.08,64.05,1.88,5.4,62.8,1.67,4.41,63.14,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,HEM,2.32,6.38,71.24,2.28,6.22,67.92,2.15,5.74,68.48,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,HEM,1.65,2.24,79.85,1.66,2.23,76.93,1.63,2.18,75.37,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,QR,1.35,2.53,79.25,1.3,2.41,78.2,1.17,2.02,78.29,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,QR,2.0,6.08,64.05,1.88,5.4,62.8,1.67,4.41,63.14,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,QR,2.32,6.38,71.24,2.28,6.22,67.92,2.15,5.74,68.48,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190311_o_BW-732-114_0.JPG,QR,1.65,2.24,79.85,1.66,2.23,76.93,1.63,2.18,75.37,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,5428,3180,17.26,1.71,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 12 megapixels,Others,"(5428, 3180)"
190312_o_BP-676-048_0.JPG,HEM,0.75,1.18,61.14,0.8,1.19,55.54,0.78,1.05,57.35,ORE,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,2482,1572,3.9,1.58,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(2482, 1572)"
190312_o_BP-676-048_0.JPG,QR,0.52,2.5,59.16,0.38,1.7,61.48,0.24,0.64,69.36,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,2482,1572,3.9,1.58,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(2482, 1572)"
190312_o_BP-676-048_0.JPG,QR,1.08,0.44,92.9,1.03,0.35,86.1,0.98,0.28,82.52,DW,iPhone 6,4.15,2.28,HAS EXIF BUT NO ZOOM INFO,N/A,HAS EXIF BUT NO EXPOSURE TIME INFO,N/A,2482,1572,3.9,1.58,Landscape,4.15 mm,2.28,N/A,N/A,Larger than 2 and less than 12 megapixels,Others,"(2482, 1572)"
