,file_name,labels,combined_labels,flat_coords,convexhull
0,20190516_bw-718-095_3_JH.JPG,"{'HEM': [[(20, 251), (379, 288), (2210, 692), (2098, 1229), (1757, 1292), (1451, 1570), (823, 2063), (67, 1988), (20, 251)]], 'QR': [[(854, 2054), (1773, 1317), (2101, 1251), (2232, 685), (2954, 942), (3335, 1076), (3960, 1292), (3976, 2960), (2679, 2548), (1742, 2304), (854, 2054)]]}","{'DW': [[(854, 2054), (1773, 1317), (2101, 1251), (2232, 685), (2954, 942), (3335, 1076), (3960, 1292), (3976, 2960), (2679, 2548), (1742, 2304), (854, 2054)]], 'CW': [], 'ORE': [[(20, 251), (379, 288), (2210, 692), (2098, 1229), (1757, 1292), (1451, 1570), (823, 2063), (67, 1988), (20, 251)]]}","[(854, 2054), (1773, 1317), (2101, 1251), (2232, 685), (2954, 942), (3335, 1076), (3960, 1292), (3976, 2960), (2679, 2548), (1742, 2304), (854, 2054), (20, 251), (379, 288), (2210, 692), (2098, 1229), (1757, 1292), (1451, 1570), (823, 2063), (67, 1988), (20, 251)]","[(20, 251), (379, 288), (2232, 685), (3960, 1292), (3976, 2960), (67, 1988), (20, 251)]"
1,20190503_bw-718-095-7_AS.JPG,"{'HEM': [[(16, 190), (351, 715), (890, 666), (1273, 650), (1624, 655), (1609, 369), (1275, 400), (1066, 376), (947, 390), (567, 292), (16, 190)]]}","{'DW': [], 'CW': [], 'ORE': [[(16, 190), (351, 715), (890, 666), (1273, 650), (1624, 655), (1609, 369), (1275, 400), (1066, 376), (947, 390), (567, 292), (16, 190)]]}","[(16, 190), (351, 715), (890, 666), (1273, 650), (1624, 655), (1609, 369), (1275, 400), (1066, 376), (947, 390), (567, 292), (16, 190)]","[(16, 190), (1609, 369), (1624, 655), (351, 715), (16, 190)]"
2,20190516_bw-718-094_3_JH.JPG,"{'HEM': [[(3337, 1888), (3973, 1908), (3935, 1585), (3440, 1373), (2996, 1187), (2629, 1102), (2365, 1156), (2929, 1288), (3185, 1425), (3265, 1608), (3317, 1898), (3337, 1888)]], 'QR': [[(2340, 1152), (1596, 1158), (2102, 1479), (2254, 1752), (1908, 1819), (3333, 1898), (3240, 1608), (3179, 1438), (2910, 1290), (2340, 1152)]], 'GN': [[(979, 1135), (1596, 1169), (2094, 1490), (2210, 1733), (1881, 1819), (1006, 1862), (979, 1135)], [(2817, 1119), (3983, 1192), (3950, 1567), (2988, 1171), (2817, 1119)]]}","{'DW': [[(2340, 1152), (1596, 1158), (2102, 1479), (2254, 1752), (1908, 1819), (3333, 1898), (3240, 1608), (3179, 1438), (2910, 1290), (2340, 1152)]], 'CW': [[(979, 1135), (1596, 1169), (2094, 1490), (2210, 1733), (1881, 1819), (1006, 1862), (979, 1135)], [(2817, 1119), (3983, 1192), (3950, 1567), (2988, 1171), (2817, 1119)]], 'ORE': [[(3337, 1888), (3973, 1908), (3935, 1585), (3440, 1373), (2996, 1187), (2629, 1102), (2365, 1156), (2929, 1288), (3185, 1425), (3265, 1608), (3317, 1898), (3337, 1888)]]}","[(2340, 1152), (1596, 1158), (2102, 1479), (2254, 1752), (1908, 1819), (3333, 1898), (3240, 1608), (3179, 1438), (2910, 1290), (2340, 1152), (979, 1135), (1596, 1169), (2094, 1490), (2210, 1733), (1881, 1819), (1006, 1862), (979, 1135), (2817, 1119), (3983, 1192), (3950, 1567), (2988, 1171), (2817, 1119), (3337, 1888), (3973, 1908), (3935, 1585), (3440, 1373), (2996, 1187), (2629, 1102), (2365, 1156), (2929, 1288), (3185, 1425), (3265, 1608), (3317, 1898), (3337, 1888)]","[(979, 1135), (2629, 1102), (3983, 1192), (3973, 1908), (3317, 1898), (1006, 1862), (979, 1135)]"
3,20190518_bp-662-009_1_JH.jpg,"{'IFG': [[(26, 782), (1229, 775), (2058, 2025), (11, 2300), (26, 782)], [(2911, 788), (4026, 829), (4001, 1957), (2726, 1929), (2911, 788)]], 'HEM': [[(1270, 741), (2886, 775), (2679, 1941), (2073, 1988), (1270, 741)]]}","{'DW': [], 'CW': [], 'ORE': [[(26, 782), (1229, 775), (2058, 2025), (11, 2300), (26, 782)], [(2911, 788), (4026, 829), (4001, 1957), (2726, 1929), (2911, 788)], [(1270, 741), (2886, 775), (2679, 1941), (2073, 1988), (1270, 741)]]}","[(26, 782), (1229, 775), (2058, 2025), (11, 2300), (26, 782), (2911, 788), (4026, 829), (4001, 1957), (2726, 1929), (2911, 788), (1270, 741), (2886, 775), (2679, 1941), (2073, 1988), (1270, 741)]","[(11, 2300), (26, 782), (1270, 741), (2886, 775), (4026, 829), (4001, 1957), (11, 2300)]"
4,20190426_BW_718-095_7_CD.JPG,"{'AMP': [[(14, 1275), (279, 1266), (404, 1313), (548, 1313), (648, 1294), (739, 1304), (929, 1304), (1489, 1219), (1526, 1235), (1664, 1235), (1717, 1197), (2001, 1219), (1851, 1407), (1620, 1600), (1333, 1797), (1029, 1922), (773, 2110), (51, 2060), (14, 1275)]], 'HEM': [[(2011, 1225), (2129, 1194), (2286, 1300), (2411, 1297), (2508, 1338), (2817, 1382), (3864, 1341), (4014, 1388), (4017, 2204), (2070, 2207), (776, 2110), (1029, 1929), (1333, 1797), (1623, 1597), (1854, 1413), (2011, 1225)]]}","{'DW': [], 'CW': [[(14, 1275), (279, 1266), (404, 1313), (548, 1313), (648, 1294), (739, 1304), (929, 1304), (1489, 1219), (1526, 1235), (1664, 1235), (1717, 1197), (2001, 1219), (1851, 1407), (1620, 1600), (1333, 1797), (1029, 1922), (773, 2110), (51, 2060), (14, 1275)]], 'ORE': [[(2011, 1225), (2129, 1194), (2286, 1300), (2411, 1297), (2508, 1338), (2817, 1382), (3864, 1341), (4014, 1388), (4017, 2204), (2070, 2207), (776, 2110), (1029, 1929), (1333, 1797), (1623, 1597), (1854, 1413), (2011, 1225)]]}","[(14, 1275), (279, 1266), (404, 1313), (548, 1313), (648, 1294), (739, 1304), (929, 1304), (1489, 1219), (1526, 1235), (1664, 1235), (1717, 1197), (2001, 1219), (1851, 1407), (1620, 1600), (1333, 1797), (1029, 1922), (773, 2110), (51, 2060), (14, 1275), (2011, 1225), (2129, 1194), (2286, 1300), (2411, 1297), (2508, 1338), (2817, 1382), (3864, 1341), (4014, 1388), (4017, 2204), (2070, 2207), (776, 2110), (1029, 1929), (1333, 1797), (1623, 1597), (1854, 1413), (2011, 1225)]","[(14, 1275), (1717, 1197), (2129, 1194), (3864, 1341), (4014, 1388), (4017, 2204), (2070, 2207), (51, 2060), (14, 1275)]"
5,20190518_bp-662-008_1_JH.jpg,"{'IFG': [[(36, 951), (739, 822), (1301, 904), (1661, 813), (2314, 866), (3129, 819), (3989, 566), (3973, 2425), (61, 2732), (36, 951)]]}","{'DW': [], 'CW': [], 'ORE': [[(36, 951), (739, 822), (1301, 904), (1661, 813), (2314, 866), (3129, 819), (3989, 566), (3973, 2425), (61, 2732), (36, 951)]]}","[(36, 951), (739, 822), (1301, 904), (1661, 813), (2314, 866), (3129, 819), (3989, 566), (3973, 2425), (61, 2732), (36, 951)]","[(36, 951), (739, 822), (3989, 566), (3973, 2425), (61, 2732), (36, 951)]"
6,20190508_bw-718-094_1_JH.jpg,"{'HEM': [[(16, 1604), (596, 1700), (1144, 1796), (1503, 1841), (1801, 1809), (1959, 1833), (1955, 1948), (1792, 2024), (1687, 2124), (1435, 2122), (1077, 2109), (798, 2113), (616, 2078), (483, 2078), (342, 2093), (114, 2087), (44, 2085), (16, 1604)]], 'QR': [[(1714, 2143), (1816, 2039), (1964, 1980), (1998, 1826), (2768, 1811), (2957, 2191), (1979, 2185), (1714, 2143)]], 'GN': [[(2816, 1813), (3009, 1817), (3016, 2176), (2983, 2185), (2816, 1813)]]}","{'DW': [[(1714, 2143), (1816, 2039), (1964, 1980), (1998, 1826), (2768, 1811), (2957, 2191), (1979, 2185), (1714, 2143)]], 'CW': [[(2816, 1813), (3009, 1817), (3016, 2176), (2983, 2185), (2816, 1813)]], 'ORE': [[(16, 1604), (596, 1700), (1144, 1796), (1503, 1841), (1801, 1809), (1959, 1833), (1955, 1948), (1792, 2024), (1687, 2124), (1435, 2122), (1077, 2109), (798, 2113), (616, 2078), (483, 2078), (342, 2093), (114, 2087), (44, 2085), (16, 1604)]]}","[(1714, 2143), (1816, 2039), (1964, 1980), (1998, 1826), (2768, 1811), (2957, 2191), (1979, 2185), (1714, 2143), (2816, 1813), (3009, 1817), (3016, 2176), (2983, 2185), (2816, 1813), (16, 1604), (596, 1700), (1144, 1796), (1503, 1841), (1801, 1809), (1959, 1833), (1955, 1948), (1792, 2024), (1687, 2124), (1435, 2122), (1077, 2109), (798, 2113), (616, 2078), (483, 2078), (342, 2093), (114, 2087), (44, 2085), (16, 1604)]","[(16, 1604), (3009, 1817), (3016, 2176), (2983, 2185), (2957, 2191), (1979, 2185), (44, 2085), (16, 1604)]"
7,190322_o_BW-732-109_101.jpg,"{'HEM': [[(2822, 707), (1669, 2292), (43, 2450), (38, 618), (722, 765), (1301, 781), (1496, 771), (1938, 839), (2822, 707)], [(3717, 471), (2706, 2350), (4006, 2550), (4001, 439), (3717, 471)]], 'QR': [[(2901, 650), (1690, 2302), (2680, 2328), (3690, 465), (2901, 650)]]}","{'DW': [[(2901, 650), (1690, 2302), (2680, 2328), (3690, 465), (2901, 650)]], 'CW': [], 'ORE': [[(2822, 707), (1669, 2292), (43, 2450), (38, 618), (722, 765), (1301, 781), (1496, 771), (1938, 839), (2822, 707)], [(3717, 471), (2706, 2350), (4006, 2550), (4001, 439), (3717, 471)]]}","[(2901, 650), (1690, 2302), (2680, 2328), (3690, 465), (2901, 650), (2822, 707), (1669, 2292), (43, 2450), (38, 618), (722, 765), (1301, 781), (1496, 771), (1938, 839), (2822, 707), (3717, 471), (2706, 2350), (4006, 2550), (4001, 439), (3717, 471)]","[(38, 618), (4001, 439), (4006, 2550), (43, 2450), (38, 618)]"
8,20190502_bp-676-045-8_AS.JPG,"{'SIF': [[(2851, 1114), (3051, 968), (3217, 966), (3230, 1204), (3148, 1338), (2920, 1384), (2851, 1114)]], 'QR': [[(2317, 873), (2497, 886), (2856, 1114), (2920, 1384), (2620, 1455), (2415, 1245), (2310, 1130), (2317, 873)], [(461, 773), (843, 689), (1056, 735), (1158, 966), (1120, 1148), (1048, 1194), (787, 1120), (566, 1035), (461, 773)], [(22, 314), (625, 332), (1148, 376), (1058, 732), (846, 686), (458, 773), (569, 1038), (784, 1122), (1046, 1197), (1556, 1853), (48, 1835), (22, 314)], [(1151, 381), (2410, 350), (3215, 427), (3215, 966), (3056, 968), (2856, 1114), (2497, 889), (2317, 871), (2302, 1138), (2417, 1243), (2617, 1455), (2930, 1389), (3148, 1338), (3194, 1804), (2776, 1825), (2435, 1717), (2215, 1789), (1558, 1848), (1043, 1199), (1117, 1150), (1158, 971), (1058, 735), (1151, 381)]], 'HEM': [[(2317, 873), (2497, 886), (2856, 1114), (2920, 1384), (2620, 1455), (2415, 1245), (2310, 1130), (2317, 873)], [(461, 773), (843, 689), (1056, 735), (1158, 966), (1120, 1148), (1048, 1194), (787, 1120), (566, 1035), (461, 773)], [(22, 314), (625, 332), (1148, 376), (1058, 732), (846, 686), (458, 773), (569, 1038), (784, 1122), (1046, 1197), (1556, 1853), (48, 1835), (22, 314)], [(1151, 381), (2410, 350), (3215, 427), (3215, 966), (3056, 968), (2856, 1114), (2497, 889), (2317, 871), (2302, 1138), (2417, 1243), (2617, 1455), (2930, 1389), (3148, 1338), (3194, 1804), (2776, 1825), (2435, 1717), (2215, 1789), (1558, 1848), (1043, 1199), (1117, 1150), (1158, 971), (1058, 735), (1151, 381)]]}","{'DW': [[(2317, 873), (2497, 886), (2856, 1114), (2920, 1384), (2620, 1455), (2415, 1245), (2310, 1130), (2317, 873)], [(461, 773), (843, 689), (1056, 735), (1158, 966), (1120, 1148), (1048, 1194), (787, 1120), (566, 1035), (461, 773)], [(22, 314), (625, 332), (1148, 376), (1058, 732), (846, 686), (458, 773), (569, 1038), (784, 1122), (1046, 1197), (1556, 1853), (48, 1835), (22, 314)], [(1151, 381), (2410, 350), (3215, 427), (3215, 966), (3056, 968), (2856, 1114), (2497, 889), (2317, 871), (2302, 1138), (2417, 1243), (2617, 1455), (2930, 1389), (3148, 1338), (3194, 1804), (2776, 1825), (2435, 1717), (2215, 1789), (1558, 1848), (1043, 1199), (1117, 1150), (1158, 971), (1058, 735), (1151, 381)]], 'CW': [], 'ORE': [[(2851, 1114), (3051, 968), (3217, 966), (3230, 1204), (3148, 1338), (2920, 1384), (2851, 1114)], [(2317, 873), (2497, 886), (2856, 1114), (2920, 1384), (2620, 1455), (2415, 1245), (2310, 1130), (2317, 873)], [(461, 773), (843, 689), (1056, 735), (1158, 966), (1120, 1148), (1048, 1194), (787, 1120), (566, 1035), (461, 773)], [(22, 314), (625, 332), (1148, 376), (1058, 732), (846, 686), (458, 773), (569, 1038), (784, 1122), (1046, 1197), (1556, 1853), (48, 1835), (22, 314)], [(1151, 381), (2410, 350), (3215, 427), (3215, 966), (3056, 968), (2856, 1114), (2497, 889), (2317, 871), (2302, 1138), (2417, 1243), (2617, 1455), (2930, 1389), (3148, 1338), (3194, 1804), (2776, 1825), (2435, 1717), (2215, 1789), (1558, 1848), (1043, 1199), (1117, 1150), (1158, 971), (1058, 735), (1151, 381)]]}","[(2317, 873), (2497, 886), (2856, 1114), (2920, 1384), (2620, 1455), (2415, 1245), (2310, 1130), (2317, 873), (461, 773), (843, 689), (1056, 735), (1158, 966), (1120, 1148), (1048, 1194), (787, 1120), (566, 1035), (461, 773), (22, 314), (625, 332), (1148, 376), (1058, 732), (846, 686), (458, 773), (569, 1038), (784, 1122), (1046, 1197), (1556, 1853), (48, 1835), (22, 314), (1151, 381), (2410, 350), (3215, 427), (3215, 966), (3056, 968), (2856, 1114), (2497, 889), (2317, 871), (2302, 1138), (2417, 1243), (2617, 1455), (2930, 1389), (3148, 1338), (3194, 1804), (2776, 1825), (2435, 1717), (2215, 1789), (1558, 1848), (1043, 1199), (1117, 1150), (1158, 971), (1058, 735), (1151, 381), (2851, 1114), (3051, 968), (3217, 966), (3230, 1204), (3148, 1338), (2920, 1384), (2851, 1114), (2317, 873), (2497, 886), (2856, 1114), (2920, 1384), (2620, 1455), (2415, 1245), (2310, 1130), (2317, 873), (461, 773), (843, 689), (1056, 735), (1158, 966), (1120, 1148), (1048, 1194), (787, 1120), (566, 1035), (461, 773), (22, 314), (625, 332), (1148, 376), (1058, 732), (846, 686), (458, 773), (569, 1038), (784, 1122), (1046, 1197), (1556, 1853), (48, 1835), (22, 314), (1151, 381), (2410, 350), (3215, 427), (3215, 966), (3056, 968), (2856, 1114), (2497, 889), (2317, 871), (2302, 1138), (2417, 1243), (2617, 1455), (2930, 1389), (3148, 1338), (3194, 1804), (2776, 1825), (2435, 1717), (2215, 1789), (1558, 1848), (1043, 1199), (1117, 1150), (1158, 971), (1058, 735), (1151, 381)]","[(22, 314), (2410, 350), (3215, 427), (3230, 1204), (3194, 1804), (2776, 1825), (1556, 1853), (48, 1835), (22, 314)]"
9,20190505_bw-718-095_AS.JPG,"{'AMP': [[(87, 827), (437, 762), (585, 767), (654, 766), (684, 762), (747, 837), (734, 852), (692, 851), (694, 817), (659, 804), (635, 786), (595, 782), (582, 811), (532, 812), (507, 834), (259, 832), (87, 827)]], 'HEM': [[(685, 764), (902, 774), (1090, 771), (1347, 787), (1312, 842), (1234, 846), (1182, 866), (732, 857), (745, 837), (685, 764)]], 'QR': [[(1347, 784), (1669, 754), (1615, 852), (1560, 879), (1182, 871), (1235, 847), (1314, 839), (1347, 784)]], 'GN': [[(1665, 754), (1810, 804), (1790, 891), (1555, 887), (1620, 851), (1665, 754)]]}","{'DW': [[(1347, 784), (1669, 754), (1615, 852), (1560, 879), (1182, 871), (1235, 847), (1314, 839), (1347, 784)]], 'CW': [[(87, 827), (437, 762), (585, 767), (654, 766), (684, 762), (747, 837), (734, 852), (692, 851), (694, 817), (659, 804), (635, 786), (595, 782), (582, 811), (532, 812), (507, 834), (259, 832), (87, 827)], [(1665, 754), (1810, 804), (1790, 891), (1555, 887), (1620, 851), (1665, 754)]], 'ORE': [[(685, 764), (902, 774), (1090, 771), (1347, 787), (1312, 842), (1234, 846), (1182, 866), (732, 857), (745, 837), (685, 764)]]}","[(1347, 784), (1669, 754), (1615, 852), (1560, 879), (1182, 871), (1235, 847), (1314, 839), (1347, 784), (87, 827), (437, 762), (585, 767), (654, 766), (684, 762), (747, 837), (734, 852), (692, 851), (694, 817), (659, 804), (635, 786), (595, 782), (582, 811), (532, 812), (507, 834), (259, 832), (87, 827), (1665, 754), (1810, 804), (1790, 891), (1555, 887), (1620, 851), (1665, 754), (685, 764), (902, 774), (1090, 771), (1347, 787), (1312, 842), (1234, 846), (1182, 866), (732, 857), (745, 837), (685, 764)]","[(87, 827), (437, 762), (1665, 754), (1669, 754), (1810, 804), (1790, 891), (1555, 887), (732, 857), (87, 827)]"
